event_id,store_id,campaign_id,product_code,base_price(before_promo),quantity_sold(before_promo),promo_type,base_price(after_promo),quantity_sold(after_promo),campaign_name,start_date,end_date,product_name,category,revenue_before_promo,revenue_after_promo
141d98,STCHE-4,CAMP_SAN_01,P03,200,78.0,BOGOF,100,1695,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,15600.0,169500
269cec,STBLR-6,CAMP_SAN_01,P02,860,532.0,33% OFF,576,813,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,457520.0,468288
fb2c04,STVSK-0,CAMP_SAN_01,P08,1190,28.0,BOGOF,595,108,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,33320.0,64260
df380c,STBLR-5,CAMP_SAN_01,P05,55,25.0,25% OFF,41,21,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,1375.0,861
e67501,STVSK-4,CAMP_SAN_01,P13,350,85.0,BOGOF,175,215,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,29750.0,37625
6c1493,STVJD-1,CAMP_SAN_01,P15,3000,66.0,500 Cashback,2500,144,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,198000.0,360000
86206,STHYD-1,CAMP_SAN_01,P14,1020,102.0,BOGOF,510,279,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,104040.0,142290
04da18,STVSK-4,CAMP_SAN_01,P03,200,223.0,BOGOF,100,604,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,44600.0,60400
e97ac0,STTRV-0,CAMP_SAN_01,P12,62,22.0,50% OFF,31,30,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,1364.0,930
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25.0,25% OFF,37,22,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1250.0,814
eb967c,STMYS-1,CAMP_SAN_01,P15,3000,133.0,500 Cashback,2500,383,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,399000.0,957500
b17786,STMLR-0,CAMP_SAN_01,P13,350,63.0,BOGOF,175,163,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,22050.0,28525
31b59d,STVSK-3,CAMP_SAN_01,P10,50,27.0,25% OFF,37,21,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1350.0,777
0ffbbc,STTRV-1,CAMP_SAN_01,P09,90,30.0,25% OFF,67,28,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,2700.0,1876
ad783e,STCHE-4,CAMP_SAN_01,P10,50,30.0,25% OFF,37,25,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1500.0,925
a6a18f,STHYD-6,CAMP_SAN_01,P06,415,34.0,25% OFF,311,27,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,14110.0,8397
0efde2,STCHE-7,CAMP_SAN_01,P03,200,448.0,BOGOF,100,1895,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,89600.0,189500
87bb82,STCBE-0,CAMP_SAN_01,P15,3000,126.0,500 Cashback,2500,275,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,378000.0,687500
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,55.0,BOGOF,150,213,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,16500.0,31950
3ea7d6,STMYS-0,CAMP_SAN_01,P15,3000,105.0,500 Cashback,2500,173,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,315000.0,432500
221da2,STCBE-3,CAMP_SAN_01,P15,3000,91.0,500 Cashback,2500,211,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,273000.0,527500
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,52.0,BOGOF,595,134,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,61880.0,79730
0d853d,STHYD-4,CAMP_SAN_01,P02,860,594.0,33% OFF,576,819,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,510840.0,471744
667c78,STVSK-4,CAMP_SAN_01,P01,172,223.0,33% OFF,115,301,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,38356.0,34615
3100ef,STBLR-5,CAMP_SAN_01,P09,90,67.0,25% OFF,67,56,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,6030.0,3752
49e9ea,STHYD-2,CAMP_SAN_01,P04,370,415.0,BOGOF,185,1672,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,153550.0,309320
ab6327,STHYD-1,CAMP_SAN_01,P04,370,444.0,BOGOF,185,1123,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,164280.0,207755
950a84,STBLR-9,CAMP_SAN_01,P11,190,52.0,50% OFF,95,73,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,9880.0,6935
680acd,STHYD-3,CAMP_SAN_01,P11,190,46.0,50% OFF,95,73,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,8740.0,6935
4ab9ba,STTRV-1,CAMP_SAN_01,P01,172,165.0,33% OFF,115,232,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,28380.0,26680
73564c,STBLR-5,CAMP_SAN_01,P11,190,43.0,50% OFF,95,63,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,8170.0,5985
1f083a,STVJD-0,CAMP_SAN_01,P06,415,16.0,25% OFF,311,14,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,6640.0,4354
60ba75,STVJD-0,CAMP_SAN_01,P13,350,60.0,BOGOF,175,234,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,21000.0,40950
d180ef,STBLR-7,CAMP_SAN_01,P01,172,341.0,33% OFF,115,531,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,58652.0,61065
c649ca,STMYS-1,CAMP_SAN_01,P02,860,595.0,33% OFF,576,886,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,511700.0,510336
3131b7,STMYS-3,CAMP_SAN_01,P09,90,54.0,25% OFF,67,45,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,4860.0,3015
8376c6,STHYD-5,CAMP_SAN_01,P01,172,336.0,33% OFF,115,467,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,57792.0,53705
4001c4,STBLR-6,CAMP_SAN_01,P04,370,402.0,BOGOF,185,1652,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,148740.0,305620
87be33,STBLR-6,CAMP_SAN_01,P13,350,120.0,BOGOF,175,516,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,42000.0,90300
908a96,STHYD-4,CAMP_SAN_01,P12,62,52.0,50% OFF,31,72,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,3224.0,2232
58ce38,STBLR-3,CAMP_SAN_01,P13,350,118.0,BOGOF,175,455,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,41300.0,79625
ebbe5d,STCHE-2,CAMP_SAN_01,P06,415,25.0,25% OFF,311,22,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,10375.0,6842
b60e6a,STBLR-6,CAMP_SAN_01,P09,90,63.0,25% OFF,67,51,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,5670.0,3417
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,423.0,BOGOF,185,1801,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,156510.0,333185
fe1a8b,STBLR-8,CAMP_SAN_01,P15,3000,126.0,500 Cashback,2500,278,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,378000.0,695000
fc2170,STCBE-3,CAMP_SAN_01,P08,1190,40.0,BOGOF,595,158,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,47600.0,94010
d0daaa,STMDU-1,CAMP_SAN_01,P14,1020,63.0,BOGOF,510,244,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,64260.0,124440
8cd1ec,STCHE-1,CAMP_SAN_01,P13,350,124.0,BOGOF,175,324,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,43400.0,56700
c22ead,STBLR-6,CAMP_SAN_01,P11,190,43.0,50% OFF,95,66,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,8170.0,6270
6e412f,STBLR-7,CAMP_SAN_01,P06,415,34.0,25% OFF,311,28,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,14110.0,8708
94102d,STBLR-4,CAMP_SAN_01,P12,62,64.0,50% OFF,31,92,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,3968.0,2852
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,465.0,33% OFF,576,646,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,399900.0,372096
0c9f61,STBLR-7,CAMP_SAN_01,P03,200,433.0,BOGOF,100,1883,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,86600.0,188300
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,40.0,BOGOF,595,168,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,47600.0,99960
dd8425,STCHE-0,CAMP_SAN_01,P11,190,49.0,50% OFF,95,71,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,9310.0,6745
17df71,STHYD-0,CAMP_SAN_01,P08,1190,46.0,BOGOF,595,179,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,54740.0,106505
94cacb,STCHE-0,CAMP_SAN_01,P12,62,55.0,50% OFF,31,79,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,3410.0,2449
1490b8,STMDU-2,CAMP_SAN_01,P04,370,361.0,BOGOF,185,1397,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,133570.0,258445
75f30e,STCHE-2,CAMP_SAN_01,P15,3000,117.0,500 Cashback,2500,251,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,351000.0,627500
e7f270,STVSK-0,CAMP_SAN_01,P01,172,211.0,33% OFF,115,322,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,36292.0,37030
7d5e81,STCHE-5,CAMP_SAN_01,P07,300,43.0,BOGOF,150,167,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,12900.0,25050
ee68d9,STCHE-1,CAMP_SAN_01,P15,3000,136.0,500 Cashback,2500,242,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,408000.0,605000
9.57E+11,STHYD-1,CAMP_SAN_01,P15,3000,103.0,500 Cashback,2500,177,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,309000.0,442500
15265d,STCHE-5,CAMP_SAN_01,P12,62,58.0,50% OFF,31,65,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,3596.0,2015
b8c7c8,STHYD-6,CAMP_SAN_01,P10,50,31.0,25% OFF,37,26,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,1550.0,962
53a947,STBLR-1,CAMP_SAN_01,P06,415,39.0,25% OFF,311,36,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,16185.0,11196
00a7c3,STTRV-1,CAMP_SAN_01,P02,860,231.0,33% OFF,576,314,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,198660.0,180864
d85264,STMLR-1,CAMP_SAN_01,P07,300,30.0,BOGOF,150,120,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,9000.0,18000
4e42b9,STHYD-4,CAMP_SAN_01,P03,200,376.0,BOGOF,100,1447,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,75200.0,144700
f013a9,STMYS-2,CAMP_SAN_01,P14,1020,105.0,BOGOF,510,276,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,107100.0,140760
84aa9b,STCHE-0,CAMP_SAN_01,P02,860,424.0,33% OFF,576,580,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,364640.0,334080
